formation_date,group,t,CAR
2001-01-31,Loser,32,0.2405328484931972
2001-01-31,Winner,33,-0.24555509110468715
2001-01-31,Loser,33,0.24010336703375004
2001-01-31,Winner,34,-0.2624722555485429
2001-01-31,Loser,34,0.2526016382853918
2001-01-31,Winner,35,-0.28908935838139155
2001-01-31,Loser,35,0.271348155834173
2001-01-31,Winner,36,-0.24986256411514735
2001-01-31,Loser,36,0.25314849148266344
2004-01-31,Winner,1,0.021183030290715152
2004-01-31,Loser,1,-0.02419599989254112
2004-01-31,Winner,2,0.03409443122760073
2004-01-31,Loser,2,-0.05280624322603765
2004-01-31,Winner,3,-0.019054131694292178
2004-01-31,Loser,3,-0.049807357708793035
2004-01-31,Winner,4,0.012879874028743993
2004-01-31,Loser,4,-0.06612991015606645
2004-01-31,Winner,5,0.013771829147720191
2004-01-31,Loser,5,-0.06409761495106199
2004-01-31,Winner,6,0.01720043493001148
2004-01-31,Loser,6,-0.09175299811064574
2004-01-31,Winner,7,0.019061594602313447
2004-01-31,Loser,7,-0.0983694725595701
2004-01-31,Winner,8,0.045902646624036814
2004-01-31,Loser,8,-0.11510452097000153
2004-01-31,Winner,9,0.04884995292725074
2004-01-31,Loser,9,-0.1190552446380187
2004-01-31,Winner,10,0.05457960130049928
2004-01-31,Loser,10,-0.13300157097831286
2004-01-31,Winner,11,0.07184902683256579
2004-01-31,Loser,11,-0.12987488659878457
2004-01-31,Winner,12,0.04751296251306582
2004-01-31,Loser,12,-0.14613216619678907
2004-01-31,Winner,13,0.06850302631970867
2004-01-31,Loser,13,-0.15430058884627107
2004-01-31,Winner,14,0.05553625304812852
2004-01-31,Loser,14,-0.17353779023690524
2004-01-31,Winner,15,0.007416511516083831
2004-01-31,Loser,15,-0.16349385482596765
2004-01-31,Winner,16,0.05003382185723329
2004-01-31,Loser,16,-0.16699972978401614
2004-01-31,Winner,17,0.046585022678092364
2004-01-31,Loser,17,-0.17501534576503186
2004-01-31,Winner,18,0.09672531347048394
2004-01-31,Loser,18,-0.17545318396320408
2004-01-31,Winner,19,0.06898244729989894
2004-01-31,Loser,19,-0.18126498619196985
2004-01-31,Winner,20,0.070330056052397
2004-01-31,Loser,20,-0.18465047807385365
2004-01-31,Winner,21,0.05674747166846036
2004-01-31,Loser,21,-0.18838126849041437
2004-01-31,Winner,22,0.0988986748317973
2004-01-31,Loser,22,-0.21108487476869364
2004-01-31,Winner,23,0.11358732776263196
